"Source:","/home/alex/VacuumIndicatorDynamic/VacuumIndicatorDynamic.kicad_sch"
"Date:","Ср 25 янв 2023 02:37:10"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","96"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","Battery_Cell","Device:Battery_Cell","","~"
"","","C1","10uF","pspice:CAP","","~"
"","","C2","22uF","pspice:CAP","","~"
"","","C3","1n","pspice:CAP","","~"
"","","C4","100n","pspice:CAP","","~"
"","","C5","47uF","pspice:CAP","","~"
"","","C6","100n","pspice:CAP","","~"
"","","C7","100n","pspice:CAP","","~"
"","","C8","100n","pspice:CAP","","~"
"","","EL1","VacuumIndicator","ProjectLib:VacuumIndicator","",""
"","","J1","USB_B_Micro","Connector:USB_B_Micro","","~"
"","","J2","Conn_01x02_Male","Connector:Conn_01x02_Male","","~"
"","","J3","Conn_01x02_Male","Connector:Conn_01x02_Male","","~"
"","","J4","Conn_01x02_Male","Connector:Conn_01x02_Male","","~"
"","","J5","Conn_01x03_Male","Connector:Conn_01x03_Male","","~"
"","","R1","4.7k","Device:R","","~"
"","","R2","4.7k","Device:R","","~"
"","","R3","4.7k","Device:R","","~"
"","","R4","4.7k","Device:R","","~"
"","","R5","4.7k","Device:R","","~"
"","","R6","4.7k","Device:R","","~"
"","","R7","4.7k","Device:R","","~"
"","","R8","4.7k","Device:R","","~"
"","","R9","1k","Device:R","","~"
"","","R10","10k","Device:R","","~"
"","","R11","10k","Device:R","","~"
"","","R12","10k","Device:R","","~"
"","","R13","4.7k","Device:R","","~"
"","","R14","4.7k","Device:R","","~"
"","","R15","4.7k","Device:R","","~"
"","","R16","47k","Device:R","","~"
"","","R17","4.7k","Device:R","","~"
"","","R18","47k","Device:R","","~"
"","","R19","510","Device:R","","~"
"","","R20","510","Device:R","","~"
"","","R21","4.7k","Device:R","","~"
"","","R22","4.7k","Device:R","","~"
"","","R23","4.7k","Device:R","","~"
"","","R24","47k","Device:R","","~"
"","","R25","4.7k","Device:R","","~"
"","","R26","47k","Device:R","","~"
"","","R27","510","Device:R","","~"
"","","R28","510","Device:R","","~"
"","","R29","4.7k","Device:R","","~"
"","","R30","4.7k","Device:R","","~"
"","","R31","4.7k","Device:R","","~"
"","","R32","47k","Device:R","","~"
"","","R33","4.7k","Device:R","","~"
"","","R34","47k","Device:R","","~"
"","","R35","510","Device:R","","~"
"","","R36","510","Device:R","","~"
"","","R37","4.7k","Device:R","","~"
"","","R38","4.7k","Device:R","","~"
"","","R39","4.7k","Device:R","","~"
"","","R40","47k","Device:R","","~"
"","","R41","4.7k","Device:R","","~"
"","","R42","47k","Device:R","","~"
"","","R43","510","Device:R","","~"
"","","R44","510","Device:R","","~"
"","","R45","4.7k","Device:R","","~"
